"en","pt-BR"
"The Most Important Thing","A coisa mais importante"
"byMarty Cagan|Apr 20, 2020","por Marty Cagan | 20/04/2020"
"During these work-from-home times, I’ve been doing a lot of video-based AMA’s (Ask Me Anything).  It gives me a break from my writing, and I enjoy the questions.  Every so often I get a question that really makes me think, and that happened recently, and is the subject of this article.","Durante esta época de home office, tenho feito muitos AMAs (Pergunte-me Qualquer Coisa, em inglês) por vídeo. Isso me dá um descanso de escrever, e eu gosto das perguntas. De vez em quando recebo uma pergunta que realmente me faz pensar, e isso aconteceu recentemente e é o tema deste artigo."
"I had just answered some questions about the differences between feature teams and product teams, when one of the listeners asked me, “OK, I know we’re clearly a feature team, but if you could pick just one thing to change about how we work, what would it be?”","Eu tinha acabado de responder algumas perguntas sobre as diferenças entre times de funcionalidades e times de produto quando um dos ouvintes me perguntou, ""OK, eu sei que nós somos claramente um time de funcionalidades, mas se você pudesse escolher só uma coisa para mudar como trabalhamos, o que seria?"""
"I had been asked this question in the past, in the context of an empowered product team, and my answer was qualitative user research in order to get the insights that innovation so often depends on.  But that’s for a team that’s already empowered.","Eu já tinha sido perguntado isso no passado, no contexto de um time de produto empoderado, e minha resposta foi pesquisa de usuários qualitativa para obter os insights de que a inovação frequentemente depende. Mas isso é para um time que já é empoderado."
"So after considering this question for a while, if I had to pick just one thing, it would be the concept of an empowered engineer.","Então, depois de pensar nessa pergunta por um tempo, se eu tivesse que escolher só uma coisa ela seria o conceito do engenheiro empoderado."
"Certainly, I’m not saying that’s all that’s required, as extraordinary products come from product teams.  But I am suggesting I believe this is the single most important thing.","Com certeza não estou dizendo que isso é tudo o que é necessário, já que produtos extraordinários vêm de times de produto. Mas estou sugerindo que acredito que é a única coisa mais importante."
"I could frame most of my writing and coaching around the concept of an empowered engineer.","Eu poderia enquadrar a maior parte da minha escrita e do meu coaching em torno do conceito do engenheiro empoderado."
"I have said many times that the best single source for innovation is your engineers (because  they’re working with the enabling technology every day, so they’re in the best position to see what’s just now possible).","Eu já disse muitas vezes que a melhor fonte de inovação são seus engenheiros (como eles estão trabalhando com tecnologia todos os dias, então eles estão na melhor posição para ver o que acabou de se tornar possível)."
"The product vision is intended to attract and inspire these engineers.","A visão do produto serve para atrair e inspirar esses engenheiros."
"The product strategy is intended to ensure these engineers are working on the most important problems.","A estratégia do produto serve para garantir que esses engenheiros estão trabalhando nos problemas mais importantes."
"The team objectives give the engineers clear statements of the problem to solve and the outcomes to strive for.","Os objetivos do time dão aos engenheiros definições claras do problema a ser resolvido e os resultados a serem buscados."
"The product manager and product designer provide critical constraints regarding business viability and customer experience, respectively.","O gerente de produto e o designer de produto fornecem restrições críticas em relação à viabilidade de negócio e à experiência do cliente, respectivamente."
"User research and data science provide the engineers with key insights.","Pesquisa de usuário e ciência de dados fornecem insights importantes aos engenheiros."
"And to be very clear, just letting your engineers decide how to code a solution is not what is meant by empowerment.  Of course they need to decide how to implement.","E, para ser muito claro, só deixar seus engenheiros decidirem como programar uma solução não é o que empoderamento quer dizer. É óbvio que eles precisam decidir como implementar."
"Letting your engineers determine the architecture is also not what is meant by empowerment.  Of course they also need to be able to decide the architecture.","Deixar seus engenheiros definir a arquitetura também não é o que empoderamento quer dizer. É óbvio que eles também precisam poder definir a arquitetura."
"Empowerment of an engineer means that you provide the engineers with the problem to solve, and the strategic context, and they are able to leverage technology to figure out the best solution to the problem.","Empoderar um engenheiro significa que você fornece o problema a ser resolvido e o contexto estratégico, e eles podem alavancar a tecnologia para descobrir a melhor solução para o problema."
"An easy way to tell whether you have empowered engineers or not, is if the first time your engineers see a product idea is at sprint planning, you are clearly a feature team, and your engineers are not empowered in any meaningful sense.","Um jeito fácil de saber se você tem engenheiros empoderados ou não é se a primeira vez que seus engenheiros vêem uma ideia de produto é no planejamento da sprint. Você é claramente um time de funcionalidades, e seus engenheiros não são empoderados em nenhum sentido que importa."
"I’ve long said that if you’re just using your engineers to code, you’re only getting about half their value.","Eu já venho há muito tempo que se você só usa seus engenheiros para programar, só está obtendo metade do seu valor."
