"en","pt-BR"
"Quit Planning Ahead and Keeping People Busy","Pare de planejar antecipadamente e de manter as pessoas ocupadas"
"John Cutler","John Cutler"
"May 15, 2016","15/05/2016"
"As product people, we need to work more on the mission and less on playing Tetris with teams and initiatives. To much planning ahead and chasing full utilization will undo your product.","Como pessoas de produto, precisamos trabalhar mais na missão e menos em jogar Tetris com times e iniciativas. Muito planejamento antecipado e a perseguição da utilização total da capacidade do time vai destruir seu produto."
"Oh oh!","Oh-oh!"
"We we can finish that in 6 days, right?, and then we can rotate them to project Z, and … oh, well Mandy will be done with that thing, and we can slide that project in there.","Podemos terminar isso em 6 dias, certo? E aí podemos realocar o time para o projeto Z, e... Ah, bom, a Mandy vai ter terminado aquela coisa, e aí podemos encaixar aquele projeto ali."
"If they finish that afternoon, Bill will present his mockups and we can start on …","Se terminarem nessa tarde, o Bill vai apresentar os mockups e podemos começar com…"
"Your average PM will spend countless hours in meetings talking to non front-line stakeholders about what their organizations will (or should) do at some point in the future.","Gerentes de produto costumam passar horas incontáveis em reuniões com stakeholders do escritório sobre o que suas organizações farão (ou deveriam fazer) em algum ponto no futuro."
"They’ll make fancy gantt swim-lane roadmaps so that everyone feels heard.","Eles fazem roadmaps em gantt extravagantes para que todos se sintam ouvidos."
"And then talk about pet solutions, show mock-ups, make a lot of guesses, play Tetris with initiatives, and pester engineers for estimates.","E aí falam sobre soluções de estimação, mostram mockups, fazem vários chutes, jogam Tetris com iniciativas e importunam engenheiros por estimativas."
"Towards what end?","Para quê?"
"Why?","Por quê?"
"https://siouxnetontrack.wordpress.com/page/8/","https://siouxnetontrack.wordpress.com/page/8/"
"They sincerely believe that this is their only option.","Eles realmente acreditam que essa é sua única opção."
"Ironically, the more they do it, the worse the results, and the more people feel that premature alignment and multi-tasking are necessary.","Ironicamente, quanto mais fazem isso, piores os resultados e mais as pessoas sentem que alinhamento prematuro e multitarefa são necessários."
"I mean gosh-golly, if we could just “hit our commitments”!","Quer dizer, se pudéssemos só “cumprir nossos compromissos”!"
"It’s a vicious cycle.","É um ciclo vicioso."
"But it doesn’t need to be that way.","Mas não precisa ser assim."
"A microscopic amount of this “planning ahead” adds value.","Um volume microscópio de todo esse ""planejamento antecipado"" agrega valor."
"It is a symptom of our preoccupation with full utilization, and it makes things WORSE.","É um sintoma da nossa preocupação com a utilização total da capacidade, e faz as coisas PIORAREM."
"We try to work out all the details in small groups so as not to “distract” the teams while they juggle the four other things we’ve asked them to do.","Tentamos definir todos os detalhes em grupos pequenos para não ""distrair"" os times enquanto eles equilibram as quatro outras coisas que pedimos que fizessem."
"UX hurries to prepare mock-ups (in isolation) so that the team will be able to get started right away.","As pessoas de UX correm (isolados) para preparar mockups para que o time possa começar a trabalhar imediatamente."
"More colorful lines get added to the roadmap swim-lanes.","Mais linhas coloridas são adicionadas às raias do roadmap."
"And then what happens?","E aí, o que acontece?"
"http://connectedprincipals.com/archives/10412","http://connectedprincipals.com/archives/10412"
"We spend days/weeks trying to re-calibrate with the reality on the ground, get the team engaged with a vision they had no part of, and work through all of our faulty assumptions.","Gastamos dias/semanas tentando recalibrar com a realidade em campo, engajar o time com uma visão da qual eles não fizeram parte, e trabalhar através de todas as nossas suposições equivocadas."
"And then rush to get the feature shipped to shut everyone up only to find we missed the mark because our batch was huge and we had 10 things on deck.","E aí corremos para lançar a funcionalidade, para calar a boca de todos, apenas para descobrir que perdemos o timing porque nosso lote era enorme e tínhamos 10 coisas andando ao mesmo tempo."
"Consider the alternative.","Considere a alternativa."
"The reality is you only need to plan for the very next thing.","A realidade é que você só precisa planejar a próxima coisa."
"And only in broad strokes. What counts is the mission: the engaging outcome you hope to generate for your customers and business. Focus instead (like 90%) on being present for the important task at hand.","E só em pinceladas largas. O que conta é a missão: o resultado envolvente que você espera gerar para seus clientes e para o negócio. Ao invés disso, foque (tipo 90%) em estar presente para a importante tarefa atual."
"All this other stuff — the freakish alignment meetings and pre-planning — is just driven by people freaking out over nothing getting done.","Todas essas outras coisas — as reuniões bizarras de alinhamento e o pré-planejamento — são impulsionadas por pessoas enlouquecidas por nada estar sendo concluído."
"What if the team finished what they were doing, and then engaged in a couple of DAYS of collaborative design, spikes, and research?","E se o time terminasse o que estava fazendo e se envolvesse em alguns DIAS de design colaborativo, spikes e pesquisa?"
"It might feel less efficient, but it is far more effective.","Pode parecer menos eficiente, mas é, de longe, muito mais."
"UX would sit down and work directly with engineers to explore what was possible.","A pessoa de UX trabalharia diretamente com o time de engenharia para explorar o que é possível."
"Instead of paper prototypes, you’d try testing working prototypes with real customer data.","Ao invés de protótipos de papel, você tentaria testar protótipos funcionais com dados reais de clientes."
"Simply put, you’d be getting it done right.","Em resumo, você estaria fazendo do jeito certo."
"Take a step back, and ask yourself the hard question.","Dê um passo atrás e se faça a pergunta difícil."
"Is any of the pre-planning worth it?","Todo o pré-planejamento vale a pena?"
"Really? If the team produced constant value and you could prove it, would anyone care? Of course not, they’d keep letting you plow along.","De verdade? Se o time produzisse valor constante e você pudesse provar isso, alguém ligaria? Claro que não, deixariam você continuar trabalhando."
"Most people can’t because 80% of shipped features never really get used or hit the mark.","A maior parte das pessoas não pode porque 80% das funcionalidades lançadas nunca são realmente usadas ou perdem o timing."
"So as an alternative, we seek full utilization and the fastest delivery of stakeholder guesses.","Então, como uma alternativa, buscamos a utilização total da capacidade e a entrega mais rápida possível de chutes de stakeholders."
"That becomes our job.","Isso se torna nosso trabalho."
"Wrong!","Errado!"
"Don’t go there.","Não vá por esse caminho."
"One of the biggest tips I can give product development teams is to keep the planning inventory as low as possible.","Uma das maiores dicas que posso dar a times de desenvolvimento de produto é manter o estoque de planejamento o mais baixo possível."
"Get alignment on the mission, and stop fixating on pet solutions.","Consiga alinhamento na missão, e pare de se fixar em soluções de estimação."
"Slow down and focus to speed up.","Diminua a velocidade e foque para acelerar."
"Don’t chase full utilization.","Não busque a utilização total da capacidade."
"Let the team breath.","Deixe o time respirar."
"Finish one thing and then start the next thing.","Termine uma coisa, e aí comece a próxima."
"You’ll produce better results and move much faster.","Você vai produzir resultados melhores e andar muito mais rápido."
